t_s,pkg_w,core_w,uncore_w,dram_w,psys_w,rest_w,pkg_c,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu0_bzy_mhz,cpu1_bzy_mhz,cpu2_bzy_mhz,cpu3_bzy_mhz,cpu4_bzy_mhz,cpu5_bzy_mhz,cpu6_bzy_mhz,cpu7_bzy_mhz,cpu0_busy,cpu1_busy,cpu2_busy,cpu3_busy,cpu4_busy,cpu5_busy,cpu6_busy,cpu7_busy
0.200,12.7481,12.0697,0.0000,0.2826,0.1932,0.6784,63.0,25.9,0.8,3506.6,3507.7,2.2,8.9,9.3,2.7,3326.9,3463.1,3585.4,3585.3,3329.3,3347.5,3385.7,3395.2,0.0078,0.0002,0.9780,0.9784,0.0007,0.0026,0.0027,0.0008
0.401,12.9266,12.2146,0.0000,0.2802,0.1929,0.7120,64.0,26.9,5.8,3509.6,3509.5,5.6,11.1,3.9,3.7,3333.9,3346.4,3586.9,3586.9,3331.4,3330.8,3499.2,3538.4,0.0081,0.0017,0.9784,0.9784,0.0017,0.0033,0.0011,0.0010
0.602,12.7990,12.1634,0.0000,0.2805,0.1944,0.6357,65.0,20.6,3.6,3517.6,3517.6,2.0,5.7,0.8,2.3,3331.1,3311.3,3588.2,3588.2,3340.1,3329.9,3412.2,3501.0,0.0062,0.0011,0.9803,0.9803,0.0006,0.0017,0.0002,0.0007
0.802,13.0868,12.3605,0.0000,0.2866,0.1910,0.7263,66.0,66.0,42.6,3500.3,3500.2,10.4,6.5,7.1,3.4,3330.0,3329.5,3580.6,3580.6,3328.9,3330.3,3354.1,3369.5,0.0198,0.0128,0.9776,0.9776,0.0031,0.0019,0.0021,0.0010
1.003,12.7725,12.1145,0.0000,0.2808,0.1920,0.6580,66.0,21.6,1.6,3507.4,3507.5,0.1,4.3,6.3,1.1,3323.8,3350.0,3580.2,3580.2,2676.3,3330.0,3573.6,3545.0,0.0065,0.0005,0.9797,0.9797,0.0000,0.0013,0.0018,0.0003
1.203,12.8610,12.1579,0.0000,0.2783,0.1917,0.7031,66.0,21.0,1.7,3509.3,3509.2,0.6,6.5,1.2,1.4,3338.2,3312.4,3588.8,3588.8,3509.6,3330.5,3370.2,3474.0,0.0063,0.0005,0.9779,0.9778,0.0002,0.0019,0.0004,0.0004
1.404,12.8518,12.1273,0.0000,0.2802,0.1926,0.7245,66.0,21.4,0.1,3512.6,3512.6,0.1,5.0,0.1,0.1,3327.5,4144.4,3585.4,3585.4,3279.3,3330.5,3404.9,3286.3,0.0064,0.0000,0.9797,0.9797,0.0000,0.0015,0.0000,0.0000
1.605,12.8314,12.1750,0.0000,0.2805,0.1917,0.6564,66.0,21.6,3.9,3514.4,3514.3,1.3,3.3,2.6,3.6,3334.7,3271.5,3585.5,3585.5,3336.6,3330.0,3330.7,3461.1,0.0065,0.0012,0.9802,0.9802,0.0004,0.0010,0.0008,0.0011
1.805,13.0859,12.3602,0.0000,0.2869,0.1913,0.7257,66.0,71.3,32.0,3494.7,3494.7,9.4,19.1,3.7,5.9,3330.0,3335.4,3581.3,3581.3,3329.8,3330.0,3361.9,3354.0,0.0214,0.0096,0.9758,0.9758,0.0028,0.0057,0.0011,0.0018
2.006,12.8088,12.0932,0.0000,0.2805,0.1932,0.7156,66.0,29.8,0.7,3491.3,3491.3,1.5,3.2,0.9,0.8,3330.5,3313.9,3576.0,3576.0,3344.8,3331.2,3442.0,3400.4,0.0090,0.0002,0.9763,0.9763,0.0004,0.0010,0.0003,0.0002
