file,experiment,arm,sched,epp_mode,strict,rep,timestamp,ok,exit_code,kernel,on_ac,governor,start_temp_c,wall_s,pkg_j,core_j,uncore_j,dram_j,psys_j,rest_j,avg_pkg_w,pkg_c_mean,pkg_c_max,energy_to_solution_j,edp_js,pkg_j_per_s,rest_frac,partitioned_epp,n_big_cpus,n_little_cpus,big_cpus,little_cpus,smt_pairs_split,bzy_mhz_big_mean,bzy_mhz_little_mean,bzy_ratio_little_over_big,cpu0_avg_mhz,cpu0_bzy_mhz,cpu0_busy,cpu0_epp,cpu1_avg_mhz,cpu1_bzy_mhz,cpu1_busy,cpu1_epp,cpu2_avg_mhz,cpu2_bzy_mhz,cpu2_busy,cpu2_epp,cpu3_avg_mhz,cpu3_bzy_mhz,cpu3_busy,cpu3_epp,cpu4_avg_mhz,cpu4_bzy_mhz,cpu4_busy,cpu4_epp,cpu5_avg_mhz,cpu5_bzy_mhz,cpu5_busy,cpu5_epp,cpu6_avg_mhz,cpu6_bzy_mhz,cpu6_busy,cpu6_epp,cpu7_avg_mhz,cpu7_bzy_mhz,cpu7_busy,cpu7_epp,pinger_present,pinger_n,wake_us_p50,wake_us_p99,wake_us_p999,wake_us_mean,work_us_p50,work_us_p99,work_us_mean,target_work_us,spin_present,spin_threads,spin_miters_total,spin_miters_mean,bls_present,bls_enqueue,bls_dsq_big,bls_dsq_little,bls_cross_domain,bls_run_big_ms,bls_run_little_ms,bls_cross_frac,bls_run_big_frac,bls_run_little_frac,bls_dsq_big_frac,bls_direct_dispatch,bls_elapsed_s,bls_event,bls_local_hit,bls_no_idle_in_domain,bls_reclassify,bls_tasks_big,bls_tasks_little,notes
data/raw/e2-coupling/flat.big1+little4.rep04.json,e2-coupling,flat.big1+little4,,flat,,4,2026-07-22T12:35:14+00:00,true,0,7.1.4-arch1-1,true,powersave,49,20.003,341.232,326.661,0,5.612,3.793,14.571,17.0591,73.4,78,341.232,6825.663696,17.059041,0.042701,false,8,0,0 1 2 3 4 5 6 7,,0,3324.85,,,3334.5,3329.1,1.0016,128,30.6,3322,0.0092,128,3334.3,3329.2,1.0015,128,3334.4,3329.3,1.0015,128,6.1,3317.9,0.0019,128,12.1,3312.8,0.0036,128,3334.3,3329.3,1.0015,128,3334.4,3329.2,1.0015,128,false,,,,,,,,,,true,5,2299.274,459.8548,false,,,,,,,,,,,,,,,,,,,
data/raw/e2-coupling/flat.big1+little4.rep05.json,e2-coupling,flat.big1+little4,,flat,,5,2026-07-22T12:44:22+00:00,true,0,7.1.4-arch1-1,true,powersave,50,20.0029,340.046,325.347,0,5.622,3.81,14.698,16.9998,72.8,76,340.046,6801.906133,16.999835,0.043224,false,8,0,0 1 2 3 4 5 6 7,,0,3328.15,,,3333.8,3328.7,1.0015,128,29.2,3328.6,0.0088,128,3333.8,3328.8,1.0015,128,3333.8,3328.8,1.0015,128,8.8,3325.8,0.0027,128,12.2,3327.1,0.0037,128,3333.9,3328.8,1.0015,128,3333.9,3328.6,1.0016,128,false,,,,,,,,,,true,5,2298.496,459.6992,false,,,,,,,,,,,,,,,,,,,
data/raw/e2-coupling/flat.big1+little4.rep06.json,e2-coupling,flat.big1+little4,,flat,,6,2026-07-22T12:53:05+00:00,true,0,7.1.4-arch1-1,true,powersave,49,20.0028,338.533,324.097,0,5.613,3.806,14.437,16.9243,71.8,75,338.533,6771.607892,16.924281,0.042646,false,8,0,0 1 2 3 4 5 6 7,,0,3323.25,,,3334.1,3329,1.0015,128,25.4,3325.6,0.0076,128,3334.1,3329,1.0015,128,3334.1,3328.9,1.0015,128,6.8,3304.2,0.0021,128,14.3,3311.5,0.0043,128,3334.2,3328.8,1.0016,128,3334.1,3329,1.0015,128,false,,,,,,,,,,true,5,2298.773,459.7546,false,,,,,,,,,,,,,,,,,,,
data/raw/e2-coupling/flat.big1.rep00.json,e2-coupling,flat.big1,,flat,,0,2026-07-22T11:50:36+00:00,true,0,7.1.4-arch1-1,true,powersave,50,20.0026,167.977,153.588,0,5.62,4.04,14.39,8.3978,63.8,66,167.977,3359.97674,8.397758,0.085666,false,8,0,0 1 2 3 4 5 6 7,,0,3474.075,,,3591.8,3597.2,0.9985,128,6.8,3499.3,0.0019,128,6.4,3455.4,0.0018,128,3.7,3427.7,0.0011,128,6.5,3529.5,0.0018,128,4.7,3439.5,0.0013,128,5.2,3464.1,0.0015,128,5,3379.9,0.0015,128,false,,,,,,,,,,true,1,494.079,494.079,false,,,,,,,,,,,,,,,,,,,
data/raw/e2-coupling/flat.big1.rep01.json,e2-coupling,flat.big1,,flat,,1,2026-07-22T12:02:20+00:00,true,0,7.1.4-arch1-1,true,powersave,50,20.0011,167.991,153.75,0,5.659,4.04,14.241,8.3991,63.9,66,167.991,3360.00479,8.399088,0.084772,false,8,0,0 1 2 3 4 5 6 7,,0,3460.4125,,,3590.8,3596.9,0.9983,128,11.3,3481.8,0.0033,128,7.1,3415.4,0.0021,128,8.4,3382.7,0.0024,128,6.2,3519.1,0.0018,128,6.9,3465.6,0.002,128,8,3440.2,0.0023,128,4.7,3381.6,0.0014,128,false,,,,,,,,,,true,1,494.656,494.656,false,,,,,,,,,,,,,,,,,,,
data/raw/e2-coupling/flat.big1.rep02.json,e2-coupling,flat.big1,,flat,,2,2026-07-22T12:14:27+00:00,true,0,7.1.4-arch1-1,true,powersave,50,20.0027,169.614,154.961,0.009,5.693,4.034,14.644,8.4795,63.2,66,169.614,3392.737958,8.479555,0.086337,false,8,0,0 1 2 3 4 5 6 7,,0,3461.9125,,,3586.7,3596.2,0.9974,128,12.6,3475.6,0.0036,128,13.5,3444.2,0.0039,128,10.8,3449,0.0031,128,7.3,3528.4,0.0021,128,8.6,3387.9,0.0025,128,6.7,3444.9,0.002,128,6,3369.1,0.0017,128,false,,,,,,,,,,true,1,494.202,494.202,false,,,,,,,,,,,,,,,,,,,
data/raw/e2-coupling/flat.big1.rep03.json,e2-coupling,flat.big1,,flat,,3,2026-07-22T12:25:58+00:00,true,0,7.1.4-arch1-1,true,powersave,50,20.0028,169.718,153.431,0.172,5.744,4.045,16.116,8.4847,63.6,66,169.718,3394.83521,8.484712,0.094958,false,8,0,0 1 2 3 4 5 6 7,,0,3486.2625,,,3588.8,3597,0.9977,128,9.9,3508.3,0.0029,128,3.6,3374.6,0.001,128,4.5,3511.7,0.0013,128,4.3,3521,0.0012,128,6.9,3491.7,0.002,128,6.6,3397,0.0019,128,7.1,3488.8,0.0021,128,false,,,,,,,,,,true,1,494.897,494.897,false,,,,,,,,,,,,,,,,,,,
data/raw/e2-coupling/flat.big1.rep04.json,e2-coupling,flat.big1,,flat,,4,2026-07-22T12:35:57+00:00,true,0,7.1.4-arch1-1,true,powersave,50,20.0031,167.493,153.06,0,5.619,4.041,14.433,8.3734,62.8,65,167.493,3350.379228,8.373352,0.086171,false,8,0,0 1 2 3 4 5 6 7,,0,3491.575,,,3590,3597.1,0.998,128,8,3482.3,0.0023,128,2.9,3510.3,0.0009,128,3.3,3379.4,0.001,128,10.8,3551.6,0.003,128,7.4,3447.4,0.0021,128,8.9,3493.6,0.0026,128,7.3,3470.9,0.0022,128,false,,,,,,,,,,true,1,494.927,494.927,false,,,,,,,,,,,,,,,,,,,
data/raw/e2-coupling/flat.big1.rep05.json,e2-coupling,flat.big1,,flat,,5,2026-07-22T12:45:03+00:00,true,0,7.1.4-arch1-1,true,powersave,49,20.0029,167.357,152.877,0.009,5.629,4.04,14.472,8.3667,62.2,66,167.357,3347.625335,8.366637,0.086474,false,8,0,0 1 2 3 4 5 6 7,,0,3466.3125,,,3589.3,3597,0.9978,128,7.3,3490.4,0.0021,128,10.7,3475.7,0.0031,128,5.4,3387.6,0.0015,128,6,3525.9,0.0017,128,6.5,3436.5,0.0019,128,4.3,3435.1,0.0013,128,4,3382.3,0.0012,128,false,,,,,,,,,,true,1,494.753,494.753,false,,,,,,,,,,,,,,,,,,,
data/raw/e2-coupling/flat.big1.rep06.json,e2-coupling,flat.big1,,flat,,6,2026-07-22T12:53:42+00:00,true,0,7.1.4-arch1-1,true,powersave,49,20.0027,166.19,152.026,0,5.614,4.044,14.164,8.3084,62.3,64,166.19,3324.248713,8.308378,0.085228,false,8,0,0 1 2 3 4 5 6 7,,0,3474.4375,,,3592.6,3597.3,0.9987,128,8.8,3501.5,0.0025,128,1.9,3419.9,0.0006,128,3.1,3477.4,0.0009,128,8.1,3546.3,0.0023,128,4.7,3414.3,0.0014,128,8.1,3427.1,0.0023,128,5.3,3411.7,0.0016,128,false,,,,,,,,,,true,1,495.07,495.07,false,,,,,,,,,,,,,,,,,,,
data/raw/e2-coupling/flat.idle.rep00.json,e2-coupling,flat.idle,,flat,,0,2026-07-22T11:45:37+00:00,true,0,7.1.4-arch1-1,true,powersave,50,20.2002,13.899,1.243,0.01,5.824,1.29,12.646,0.6881,48.5,50,13.899,280.76258,0.688062,0.90985,false,8,0,0 1 2 3 4 5 6 7,,0,828.4875,,,8.3,824.3,0.01,128,4.1,830.4,0.0049,128,1.6,827.5,0.0019,128,1.6,822,0.0019,128,2.4,823.7,0.003,128,4.5,833.5,0.0054,128,1.9,842.3,0.0023,128,1.6,824.2,0.0019,128,false,,,,,,,,,,false,0,,,false,,,,,,,,,,,,,,,,,,,
data/raw/e2-coupling/flat.idle.rep01.json,e2-coupling,flat.idle,,flat,,1,2026-07-22T11:57:13+00:00,true,0,7.1.4-arch1-1,true,powersave,50,20.0769,10.988,1.844,0,5.634,1.085,9.144,0.5473,48.9,50,10.988,220.604977,0.547296,0.832181,false,8,0,0 1 2 3 4 5 6 7,,0,951.4625,,,7.8,927.5,0.0083,128,3.1,926.8,0.0033,128,7.9,966.5,0.0063,128,6.2,1044.7,0.0052,128,3.7,945.6,0.0037,128,8.5,903,0.0087,128,4.6,951.8,0.0036,128,1.7,945.8,0.0013,128,false,,,,,,,,,,false,0,,,false,,,,,,,,,,,,,,,,,,,
data/raw/e2-coupling/flat.idle.rep02.json,e2-coupling,flat.idle,,flat,,2,2026-07-22T12:09:06+00:00,true,0,7.1.4-arch1-1,true,powersave,50,20.0506,11.268,2.12,0,5.64,1.119,9.148,0.562,48.9,52,11.268,225.930161,0.561978,0.811857,false,8,0,0 1 2 3 4 5 6 7,,0,971.7375,,,8.3,928.8,0.0085,128,6.9,962.7,0.0054,128,7.7,954,0.0072,128,4.9,1005.7,0.0039,128,8.8,962.2,0.008,128,6.6,1031.7,0.0057,128,4.2,958.4,0.0042,128,5.1,970.4,0.0041,128,false,,,,,,,,,,false,0,,,false,,,,,,,,,,,,,,,,,,,
data/raw/e2-coupling/flat.idle.rep03.json,e2-coupling,flat.idle,,flat,,3,2026-07-22T12:21:21+00:00,true,0,7.1.4-arch1-1,true,powersave,50,20.1828,13.859,1.365,0.005,5.844,1.205,12.49,0.6867,49.1,50,13.859,279.713425,0.686674,0.901219,false,8,0,0 1 2 3 4 5 6 7,,0,853.5875,,,8.2,856.1,0.0095,128,3.8,839.9,0.0046,128,6.4,850.8,0.0072,128,4.4,853.1,0.005,128,5,853.6,0.0057,128,2.7,855.2,0.0032,128,3,847.1,0.0035,128,3.1,872.9,0.0034,128,false,,,,,,,,,,false,0,,,false,,,,,,,,,,,,,,,,,,,
data/raw/e2-coupling/flat.idle.rep04.json,e2-coupling,flat.idle,,flat,,4,2026-07-22T12:31:47+00:00,true,0,7.1.4-arch1-1,true,powersave,50,20.0671,11.143,1.831,0.007,5.655,1.062,9.305,0.5553,48.2,50,11.143,223.607695,0.555287,0.835053,false,8,0,0 1 2 3 4 5 6 7,,0,962,,,8.3,910.2,0.0086,128,3.8,958.1,0.0037,128,7.7,907.3,0.0079,128,4.6,946.9,0.0041,128,5.6,1028.3,0.0044,128,4.9,1012.3,0.0038,128,3.2,952.8,0.0032,128,8.9,980.1,0.0074,128,false,,,,,,,,,,false,0,,,false,,,,,,,,,,,,,,,,,,,
data/raw/e2-coupling/flat.idle.rep05.json,e2-coupling,flat.idle,,flat,,5,2026-07-22T12:41:02+00:00,true,0,7.1.4-arch1-1,true,powersave,49,20.0533,11.423,1.887,0,5.646,1.303,9.536,0.5696,47.9,49,11.423,229.068846,0.569632,0.834807,false,8,0,0 1 2 3 4 5 6 7,,0,925.125,,,12.5,886.5,0.0127,128,8.5,932,0.0078,128,7.7,951.3,0.0063,128,6.3,954.9,0.0052,128,4.5,932.2,0.0042,128,2.9,907.6,0.0027,128,4.4,894.6,0.0037,128,3,941.9,0.0028,128,false,,,,,,,,,,false,0,,,false,,,,,,,,,,,,,,,,,,,
data/raw/e2-coupling/flat.idle.rep06.json,e2-coupling,flat.idle,,flat,,6,2026-07-22T12:49:58+00:00,true,0,7.1.4-arch1-1,true,powersave,49,20.0677,11.265,1.8,0,5.655,1.275,9.464,0.5613,47.6,50,11.265,226.06264,0.56135,0.840124,false,8,0,0 1 2 3 4 5 6 7,,0,936.95,,,5.7,896.9,0.0063,128,6.7,940.1,0.0068,128,5.4,927.4,0.0053,128,4.9,922.5,0.0047,128,7.8,934.3,0.0078,128,5.7,912.2,0.0055,128,6.2,998.4,0.0053,128,4.6,963.8,0.0039,128,false,,,,,,,,,,false,0,,,false,,,,,,,,,,,,,,,,,,,
data/raw/e2-coupling/flat.little1.rep00.json,e2-coupling,flat.little1,,flat,,0,2026-07-22T11:46:00+00:00,true,0,7.1.4-arch1-1,true,powersave,48,20.0028,166.935,150.715,0.018,5.741,4.031,16.203,8.3456,62.9,65,166.935,3339.167418,8.345582,0.097062,false,8,0,0 1 2 3 4 5 6 7,,0,3473.75,,,5.9,3531.3,0.0017,128,5.5,3450.3,0.0016,128,3592,3595.1,0.9991,128,2.2,3477.9,0.0006,128,2.7,3479.4,0.0008,128,3,3385.3,0.0009,128,4,3478.1,0.0011,128,0.9,3392.6,0.0003,128,false,,,,,,,,,,true,1,495.784,495.784,false,,,,,,,,,,,,,,,,,,,
